Date,Open,High,Low,Close,Adj Close,Volume
11/8/2021,109.400002,110.309998,108.32,108.419998,108.32515,5174500
11/9/2021,114.730003,116.169998,110.480003,111.290001,111.192642,25123700
11/10/2021,112.5,112.68,108.110001,108.959999,108.864677,8692600
11/11/2021,108.550003,109.599998,106.779999,107,106.906395,5512800
11/12/2021,107.400002,107.93,106.459999,107.589996,107.495872,7621900
11/15/2021,108.029999,108.669998,106.199997,106.669998,106.576683,6124900
11/16/2021,106.150002,106.209999,102.82,103.349998,103.259583,11997700
11/17/2021,103.699997,103.879997,101.419998,101.989998,101.900772,8307600
11/18/2021,101.43,101.800003,99.18,100.669998,100.581932,8530900
11/19/2021,99.800003,100.739998,99.300003,99.959999,99.872551,6603300
11/22/2021,100.470001,101.970001,100.279999,101.040001,100.951607,6206600
11/23/2021,101.779999,102.209999,101.150002,102.080002,101.9907,6011400
11/24/2021,101.860001,102.32,101.309998,102.230003,102.140572,5572100
11/26/2021,96.660004,98.099998,95.510002,97.839996,97.754402,8607600
11/29/2021,99.269997,100.43,96.830002,98.400002,98.313919,9776600
11/30/2021,96.639999,97.43,94.470001,94.989998,94.906898,11409400
12/1/2021,96.550003,96.889999,92.940002,93,92.91864,8657100
12/2/2021,94.199997,95.779999,92.809998,95.230003,95.146698,6094600
12/3/2021,95.129997,95.349998,91.730003,92.769997,92.688843,8079800
12/6/2021,93.849998,96.889999,93.239998,96.010002,95.92601,6679900
12/7/2021,96.599998,98.330002,96.300003,97.550003,97.464668,5049000
12/8/2021,97.550003,98.940002,96.980003,98.279999,98.194023,4756800
12/9/2021,97.769997,98.190002,97,97.830002,97.744415,4066700
12/10/2021,98.089996,98.559998,96.449997,96.949997,96.865181,4274600
12/13/2021,95.970001,96.400002,92.82,93.129997,93.048523,7378600
12/14/2021,92.75,94.059998,91.720001,92.110001,92.029419,7260800
12/15/2021,92.220001,92.410004,90.18,92.080002,91.999451,7694500
12/16/2021,92.519997,94.339996,92.199997,92.529999,92.449051,7127400
12/17/2021,92.449997,93.07,90.110001,91.449997,91.369995,9065000
12/20/2021,90,90.099998,88.169998,89.980003,89.980003,6013200
12/21/2021,90.720001,93.669998,90.720001,93.059998,93.059998,7617700
12/22/2021,92.919998,93.709999,92.160004,93.07,93.07,4663900
12/23/2021,93.300003,94.540001,93.300003,94,94,3885500
12/27/2021,93.629997,94.669998,93.449997,94.620003,94.620003,3428900
12/28/2021,94.43,96.080002,94.239998,95.300003,95.300003,4051900
12/29/2021,95,95.480003,94.440002,94.790001,94.790001,3490500
12/30/2021,94.660004,95.980003,94.529999,94.699997,94.699997,3269000
12/31/2021,94.5,94.970001,93.900002,94.470001,94.470001,3795700
1/3/2022,95.220001,97.440002,94.75,96.239998,96.239998,4619800
1/4/2022,98.779999,100.050003,98.089996,99.370003,99.370003,7624100
1/5/2022,99.730003,101.790001,99.290001,99.370003,99.370003,5894700
1/6/2022,100.449997,101.080002,99.419998,99.949997,99.949997,4277000
1/7/2022,99.800003,102.239998,99.769997,101.400002,101.400002,6248300
1/10/2022,101.720001,102,98.940002,99.419998,99.419998,5768700
1/11/2022,100.290001,102.370003,99.970001,101.790001,101.790001,5673900
1/12/2022,101.43,102.620003,101.379997,102.239998,102.239998,4558500
1/13/2022,102.290001,103.650002,101.800003,102.459999,102.459999,4382500
1/14/2022,101.660004,103.269997,100.910004,103.160004,103.160004,4379200
1/18/2022,102.559998,103.730003,102.160004,102.889999,102.889999,8410600
1/19/2022,102.690002,102.989998,100.470001,100.620003,100.620003,5699000
1/20/2022,100.230003,101.790001,97.970001,98.25,98.25,5635500
1/21/2022,97.699997,98.349998,95.860001,96.300003,96.300003,8077400
1/24/2022,94.589996,97.440002,92.290001,96.910004,96.910004,9873300
1/25/2022,91.120003,92.360001,88.300003,91.110001,91.110001,20952000
1/26/2022,91.510002,91.910004,88.050003,89.32,89.32,10637200
1/27/2022,90,91.769997,88.07,89.900002,89.900002,7804600
1/28/2022,89.300003,92.160004,88.849998,92.099998,92.099998,6478600
1/31/2022,91.610001,94.559998,91.029999,94.480003,94.480003,7001600
2/1/2022,95,98.419998,94.75,97.949997,97.949997,8148000
2/2/2022,97.669998,98.410004,96.160004,97.160004,97.160004,1968774
